order_id,order_date,ship_date,ship_mode,customer_id,product_id,quantity,unit_price,discount,gross_revenue,net_revenue,profit
ORD-000054,2024-10-24,2024-10-30,Standard Class,CUST-0018,PROD-0016,6,88.63,0.2,531.78,425.42,-25.03
ORD-000055,2023-09-13,2023-09-18,Second Class,CUST-0103,PROD-0034,4,9.88,0.0,39.52,39.52,7.65
ORD-000056,2023-12-19,2023-12-23,First Class,CUST-0279,PROD-0032,2,11.45,0.25,22.9,17.17,-0.59
ORD-000057,2023-03-01,2023-03-04,First Class,CUST-0459,PROD-0018,2,946.98,0.0,1893.96,1893.96,832.57
ORD-000058,2024-11-03,2024-11-10,Standard Class,CUST-0052,PROD-0016,5,96.43,0.1,482.15,433.94,121.62
ORD-000059,2023-12-30,2024-01-01,First Class,CUST-0409,PROD-0025,1,8.15,0.0,8.15,8.15,2.68
ORD-000060,2024-12-21,2024-12-26,Second Class,CUST-0468,PROD-0002,3,859.72,0.2,2579.16,2063.33,129.24
ORD-000061,2023-02-08,2023-02-13,Standard Class,CUST-0090,PROD-0032,3,10.85,0.0,32.55,32.55,5.95
ORD-000062,2023-05-14,2023-05-19,Standard Class,CUST-0315,PROD-0013,6,426.47,0.0,2558.82,2558.82,150.37
ORD-000063,2023-04-24,2023-04-27,First Class,CUST-0301,PROD-0010,8,47.76,0.0,382.08,382.08,79.56
ORD-000064,2023-11-06,2023-11-11,Standard Class,CUST-0052,PROD-0022,4,117.5,0.0,470.0,470.0,115.09
ORD-000065,2024-12-25,2024-12-27,Same Day,CUST-0163,PROD-0012,6,39.89,0.0,239.34,239.34,75.68
ORD-000066,2024-01-23,2024-01-30,Standard Class,CUST-0418,PROD-0012,1,36.49,0.3,36.49,25.54,4.71
ORD-000067,2023-07-06,2023-07-11,Second Class,CUST-0201,PROD-0003,1,708.16,0.0,708.16,708.16,75.25
ORD-000068,2023-09-01,2023-09-07,Standard Class,CUST-0382,PROD-0005,1,2153.05,0.3,2153.05,1507.13,152.23
ORD-000069,2024-04-02,2024-04-07,Standard Class,CUST-0374,PROD-0022,1,108.71,0.05,108.71,103.27,34.92
ORD-000070,2024-03-24,2024-03-27,Second Class,CUST-0025,PROD-0025,6,7.99,0.0,47.94,47.94,12.87
ORD-000071,2024-08-14,2024-08-19,Second Class,CUST-0052,PROD-0031,1,2.97,0.0,2.97,2.97,0.19
ORD-000072,2023-09-25,2023-09-25,Same Day,CUST-0011,PROD-0021,2,214.44,0.05,428.88,407.44,109.53
ORD-000073,2023-12-13,2023-12-20,Standard Class,CUST-0460,PROD-0006,6,1612.36,0.0,9674.16,9674.16,3013.06
ORD-000074,2023-06-10,2023-06-16,Standard Class,CUST-0311,PROD-0028,1,11.26,0.0,11.26,11.26,3.82
ORD-000075,2023-09-29,2023-10-03,Second Class,CUST-0374,PROD-0035,1,10.01,0.0,10.01,10.01,3.86
ORD-000076,2024-01-05,2024-01-10,Standard Class,CUST-0079,PROD-0004,1,618.41,0.0,618.41,618.41,80.31
ORD-000077,2023-06-24,2023-06-27,Second Class,CUST-0014,PROD-0014,2,183.7,0.0,367.4,367.4,87.58
ORD-000078,2023-04-04,2023-04-08,Second Class,CUST-0459,PROD-0017,1,645.18,0.0,645.18,645.18,147.3
ORD-000079,2024-04-21,2024-04-27,Standard Class,CUST-0135,PROD-0029,3,6.51,0.0,19.53,19.53,1.73
ORD-000080,2024-07-08,2024-07-15,Standard Class,CUST-0343,PROD-0023,1,81.19,0.0,81.19,81.19,21.03
ORD-000081,2024-12-04,2024-12-07,First Class,CUST-0495,PROD-0035,3,10.42,0.2,31.26,25.01,4.27
ORD-000082,2024-05-29,2024-06-05,Standard Class,CUST-0366,PROD-0003,5,723.82,0.0,3619.1,3619.1,355.08
ORD-000083,2023-06-27,2023-06-29,First Class,CUST-0388,PROD-0029,8,7.43,0.2,59.44,47.55,-3.64
ORD-000084,2023-07-26,2023-07-28,Same Day,CUST-0350,PROD-0028,1,12.23,0.0,12.23,12.23,4.17
ORD-000085,2023-03-31,2023-04-06,Standard Class,CUST-0414,PROD-0005,3,2141.58,0.0,6424.74,6424.74,2678.25
ORD-000086,2024-03-05,2024-03-10,Standard Class,CUST-0007,PROD-0034,1,9.16,0.0,9.16,9.16,3.9
ORD-000087,2024-07-30,2024-08-03,Second Class,CUST-0474,PROD-0007,5,1397.76,0.0,6988.8,6988.8,1087.84
ORD-000088,2024-08-08,2024-08-11,Second Class,CUST-0336,PROD-0032,1,11.77,0.0,11.77,11.77,3.79
ORD-000089,2024-02-10,2024-02-13,First Class,CUST-0206,PROD-0003,3,635.99,0.0,1907.97,1907.97,300.38
ORD-000090,2023-12-12,2023-12-15,First Class,CUST-0191,PROD-0002,2,907.22,0.0,1814.44,1814.44,587.77
ORD-000091,2023-05-18,2023-05-25,Standard Class,CUST-0498,PROD-0015,2,584.78,0.2,1169.56,935.65,76.25
ORD-000092,2024-03-28,2024-04-03,Standard Class,CUST-0046,PROD-0013,4,419.71,0.0,1678.84,1678.84,635.28
ORD-000093,2023-03-09,2023-03-16,Standard Class,CUST-0264,PROD-0011,2,83.43,0.0,166.86,166.86,46.3
ORD-000094,2023-07-25,2023-07-27,First Class,CUST-0089,PROD-0013,1,363.13,0.0,363.13,363.13,47.08
ORD-000095,2024-06-01,2024-06-06,Standard Class,CUST-0189,PROD-0030,3,3.79,0.0,11.37,11.37,2.6
ORD-000096,2024-08-23,2024-08-29,Standard Class,CUST-0492,PROD-0031,1,3.24,0.0,3.24,3.24,1.05
ORD-000097,2024-01-31,2024-02-07,Standard Class,CUST-0146,PROD-0002,4,800.49,0.1,3201.96,2881.76,925.27
ORD-000098,2024-06-09,2024-06-16,Standard Class,CUST-0138,PROD-0027,1,5.41,0.0,5.41,5.41,1.57
ORD-000099,2023-09-16,2023-09-20,Second Class,CUST-0005,PROD-0015,4,571.99,0.2,2287.96,1830.37,284.58
ORD-000100,2023-08-12,2023-08-19,Standard Class,CUST-0236,PROD-0017,2,613.81,0.0,1227.62,1227.62,64.99
ORD-000101,2024-07-28,2024-08-02,Second Class,CUST-0340,PROD-0024,1,61.18,0.0,61.18,61.18,11.29
ORD-000102,2023-10-11,2023-10-18,Standard Class,CUST-0142,PROD-0021,7,205.03,0.25,1435.21,1076.41,139.55
ORD-000103,2024-09-06,2024-09-12,Standard Class,CUST-0461,PROD-0004,3,625.51,0.0,1876.53,1876.53,842.54
ORD-000104,2024-02-19,2024-02-24,Standard Class,CUST-0133,PROD-0027,3,5.49,0.0,16.47,16.47,3.08
ORD-000105,2024-12-03,2024-12-09,Standard Class,CUST-0366,PROD-0015,6,567.87,0.0,3407.22,3407.22,1322.57
ORD-000106,2023-07-05,2023-07-11,Standard Class,CUST-0431,PROD-0036,1,4.76,0.0,4.76,4.76,1.69
ORD-000107,2024-11-01,2024-11-07,Standard Class,CUST-0094,PROD-0022,1,127.84,0.0,127.84,127.84,51.74
ORD-000108,2024-08-22,2024-08-27,Standard Class,CUST-0191,PROD-0017,2,642.89,0.0,1285.78,1285.78,549.95
ORD-000109,2023-07-19,2023-07-26,Standard Class,CUST-0037,PROD-0031,2,2.88,0.1,5.76,5.18,0.54
ORD-000110,2024-02-24,2024-02-25,Same Day,CUST-0103,PROD-0022,1,127.62,0.05,127.62,121.24,29.71
ORD-000111,2023-11-17,2023-11-20,Second Class,CUST-0324,PROD-0012,2,36.73,0.0,73.46,73.46,20.61
ORD-000112,2023-04-01,2023-04-07,Standard Class,CUST-0082,PROD-0032,3,11.77,0.0,35.31,35.31,7.18
ORD-000113,2023-07-24,2023-07-27,Second Class,CUST-0020,PROD-0035,6,11.57,0.0,69.42,69.42,3.97
ORD-000114,2023-08-20,2023-08-24,Second Class,CUST-0003,PROD-0016,2,81.93,0.0,163.86,163.86,28.26
ORD-000115,2023-11-02,2023-11-05,First Class,CUST-0034,PROD-0003,4,712.47,0.0,2849.88,2849.88,1154.74
ORD-000116,2024-05-16,2024-05-21,Standard Class,CUST-0069,PROD-0022,1,128.68,0.0,128.68,128.68,7.42
ORD-000117,2023-08-05,2023-08-10,Second Class,CUST-0115,PROD-0009,2,26.81,0.0,53.62,53.62,19.67
ORD-000118,2024-07-01,2024-07-06,Second Class,CUST-0193,PROD-0017,10,618.4,0.0,6184.0,6184.0,358.03
ORD-000119,2024-03-02,2024-03-07,Standard Class,CUST-0354,PROD-0008,2,1192.86,0.3,2385.72,1670.0,176.56
ORD-000120,2024-03-06,2024-03-11,Second Class,CUST-0005,PROD-0020,2,80.94,0.0,161.88,161.88,35.21
ORD-000121,2024-06-07,2024-06-10,Second Class,CUST-0461,PROD-0007,1,1372.98,0.0,1372.98,1372.98,403.11
ORD-000122,2024-06-19,2024-06-20,Same Day,CUST-0399,PROD-0017,4,574.48,0.2,2297.92,1838.34,318.23
ORD-000123,2023-12-05,2023-12-10,Standard Class,CUST-0353,PROD-0031,3,3.24,0.0,9.72,9.72,3.09
ORD-000124,2024-06-07,2024-06-14,Standard Class,CUST-0077,PROD-0006,1,1473.38,0.15,1473.38,1252.37,194.93
ORD-000125,2023-06-28,2023-07-01,First Class,CUST-0026,PROD-0007,2,1344.92,0.0,2689.84,2689.84,259.19
ORD-000126,2023-01-10,2023-01-14,First Class,CUST-0436,PROD-0003,3,675.05,0.0,2025.15,2025.15,874.94
ORD-000127,2024-01-17,2024-01-19,First Class,CUST-0138,PROD-0006,1,1518.1,0.0,1518.1,1518.1,583.38
ORD-000128,2024-03-07,2024-03-10,Second Class,CUST-0354,PROD-0031,1,3.12,0.1,3.12,2.81,0.26
ORD-000129,2024-08-05,2024-08-08,Second Class,CUST-0467,PROD-0031,3,3.17,0.0,9.51,9.51,3.76
ORD-000130,2024-05-09,2024-05-11,First Class,CUST-0451,PROD-0009,6,28.66,0.3,171.96,120.37,-0.69
ORD-000131,2024-08-13,2024-08-16,Second Class,CUST-0361,PROD-0034,8,9.31,0.0,74.48,74.48,19.31
ORD-000132,2024-03-19,2024-03-22,Second Class,CUST-0359,PROD-0007,2,1341.53,0.0,2683.06,2683.06,293.69
ORD-000133,2024-09-19,2024-09-26,Standard Class,CUST-0424,PROD-0036,7,5.01,0.0,35.07,35.07,8.71
ORD-000134,2024-05-18,2024-05-24,Standard Class,CUST-0085,PROD-0005,8,1819.23,0.3,14553.84,10187.69,138.46
ORD-000135,2023-03-22,2023-03-29,Standard Class,CUST-0419,PROD-0016,2,95.35,0.0,190.7,190.7,18.59
ORD-000136,2023-04-16,2023-04-21,Standard Class,CUST-0255,PROD-0002,3,764.13,0.25,2292.39,1719.29,324.86
ORD-000137,2024-06-04,2024-06-11,Standard Class,CUST-0327,PROD-0020,3,86.12,0.0,258.36,258.36,18.53
ORD-000138,2023-12-06,2023-12-13,Standard Class,CUST-0115,PROD-0030,3,4.17,0.0,12.51,12.51,2.89
ORD-000139,2023-01-03,2023-01-10,Standard Class,CUST-0050,PROD-0015,8,526.16,0.0,4209.28,4209.28,1392.59
ORD-000140,2024-05-19,2024-05-26,Standard Class,CUST-0024,PROD-0011,4,77.57,0.1,310.28,279.25,34.91
ORD-000141,2023-08-09,2023-08-14,Standard Class,CUST-0477,PROD-0026,4,13.82,0.0,55.28,55.28,23.25
ORD-000142,2024-04-06,2024-04-13,Standard Class,CUST-0429,PROD-0008,7,1111.39,0.0,7779.73,7779.73,2039.42
ORD-000143,2024-03-19,2024-03-22,First Class,CUST-0025,PROD-0036,6,5.28,0.0,31.68,31.68,10.35
ORD-000144,2023-04-17,2023-04-24,Standard Class,CUST-0089,PROD-0009,3,27.97,0.0,83.91,83.91,18.25
ORD-000145,2023-10-08,2023-10-14,Standard Class,CUST-0312,PROD-0016,8,88.16,0.2,705.28,564.22,45.56
ORD-000146,2023-11-03,2023-11-07,First Class,CUST-0454,PROD-0033,5,6.25,0.0,31.25,31.25,9.47
ORD-000147,2024-10-01,2024-10-06,Second Class,CUST-0103,PROD-0014,2,205.86,0.0,411.72,411.72,127.65
ORD-000148,2024-05-30,2024-06-06,Standard Class,CUST-0491,PROD-0012,2,36.0,0.0,72.0,72.0,17.43
ORD-000149,2024-11-21,2024-11-26,Second Class,CUST-0293,PROD-0027,1,5.35,0.0,5.35,5.35,1.39
ORD-000150,2023-05-29,2023-06-03,Standard Class,CUST-0013,PROD-0025,1,8.4,0.15,8.4,7.14,2.31
ORD-000151,2024-12-08,2024-12-11,Second Class,CUST-0075,PROD-0004,4,542.97,0.0,2171.88,2171.88,197.62
ORD-000152,2023-08-18,2023-08-23,Second Class,CUST-0445,PROD-0036,2,5.01,0.0,10.02,10.02,3.29
ORD-000153,2024-01-26,2024-02-02,Standard Class,CUST-0355,PROD-0004,2,605.24,0.15,1210.48,1028.91,135.03
ORD-000154,2023-08-19,2023-08-23,First Class,CUST-0445,PROD-0029,4,6.81,0.0,27.24,27.24,9.41
ORD-000155,2023-10-29,2023-11-05,Standard Class,CUST-0101,PROD-0013,1,435.91,0.0,435.91,435.91,42.61
ORD-000156,2023-10-13,2023-10-18,Standard Class,CUST-0021,PROD-0028,1,12.83,0.2,12.83,10.26,1.16
ORD-000157,2023-06-07,2023-06-11,First Class,CUST-0080,PROD-0003,1,759.45,0.0,759.45,759.45,239.04
ORD-000158,2024-01-02,2024-01-09,Standard Class,CUST-0252,PROD-0036,2,4.72,0.05,9.44,8.97,3.27
ORD-000159,2024-07-10,2024-07-15,Standard Class,CUST-0082,PROD-0027,2,5.38,0.0,10.76,10.76,1.96
ORD-000160,2024-09-25,2024-10-02,Standard Class,CUST-0151,PROD-0014,5,218.15,0.3,1090.75,763.52,2.9
ORD-000161,2023-02-10,2023-02-14,Second Class,CUST-0124,PROD-0016,2,94.27,0.15,188.54,160.26,42.64
ORD-000162,2024-06-13,2024-06-16,First Class,CUST-0145,PROD-0002,2,850.48,0.0,1700.96,1700.96,286.74
ORD-000163,2023-11-25,2023-11-30,Standard Class,CUST-0334,PROD-0013,1,435.41,0.0,435.41,435.41,23.05
ORD-000164,2024-11-17,2024-11-20,Second Class,CUST-0034,PROD-0014,5,195.98,0.25,979.9,734.92,109.23
ORD-000165,2024-10-24,2024-10-26,First Class,CUST-0450,PROD-0028,4,11.17,0.0,44.68,44.68,8.16
ORD-000166,2023-02-25,2023-03-03,Standard Class,CUST-0045,PROD-0005,3,2028.97,0.15,6086.91,5173.87,1102.31
ORD-000167,2024-03-19,2024-03-25,Standard Class,CUST-0231,PROD-0026,3,15.1,0.0,45.3,45.3,13.47
ORD-000168,2024-12-18,2024-12-21,First Class,CUST-0388,PROD-0003,6,643.94,0.0,3863.64,3863.64,658.91
ORD-000169,2024-03-24,2024-03-31,Standard Class,CUST-0045,PROD-0019,1,120.13,0.3,120.13,84.09,1.45
ORD-000170,2023-10-30,2023-10-30,Same Day,CUST-0409,PROD-0035,1,11.85,0.0,11.85,11.85,4.7
ORD-000171,2023-01-12,2023-01-19,Standard Class,CUST-0332,PROD-0024,1,53.59,0.0,53.59,53.59,11.13
ORD-000172,2023-11-09,2023-11-16,Standard Class,CUST-0281,PROD-0006,6,1500.63,0.0,9003.78,9003.78,2776.52
ORD-000173,2023-06-14,2023-06-21,Standard Class,CUST-0263,PROD-0010,5,46.0,0.25,230.0,172.5,26.85
ORD-000174,2024-04-17,2024-04-20,Second Class,CUST-0436,PROD-0036,1,4.57,0.3,4.57,3.2,0.24
ORD-000175,2024-01-01,2024-01-08,Standard Class,CUST-0488,PROD-0022,1,113.89,0.1,113.89,102.5,18.15
ORD-000176,2024-09-23,2024-09-28,Second Class,CUST-0231,PROD-0022,3,120.56,0.0,361.68,361.68,63.85
ORD-000177,2023-01-05,2023-01-10,Standard Class,CUST-0220,PROD-0011,4,81.23,0.15,324.92,276.18,28.65
ORD-000178,2024-05-06,2024-05-12,Standard Class,CUST-0376,PROD-0022,4,118.69,0.3,474.76,332.33,27.25
ORD-000179,2023-05-24,2023-05-26,First Class,CUST-0431,PROD-0018,1,968.46,0.05,968.46,920.04,374.31
ORD-000180,2024-10-08,2024-10-15,Standard Class,CUST-0435,PROD-0033,3,6.32,0.05,18.96,18.01,4.87
ORD-000181,2024-04-28,2024-05-01,Second Class,CUST-0279,PROD-0035,2,10.39,0.0,20.78,20.78,7.13
ORD-000182,2024-04-20,2024-04-25,Standard Class,CUST-0149,PROD-0009,2,29.01,0.0,58.02,58.02,22.58
ORD-000183,2024-06-10,2024-06-15,Standard Class,CUST-0413,PROD-0011,1,86.09,0.0,86.09,86.09,37.63
ORD-000184,2024-01-03,2024-01-09,Standard Class,CUST-0377,PROD-0031,1,2.86,0.3,2.86,2.0,-0.08
ORD-000185,2024-02-02,2024-02-08,Standard Class,CUST-0465,PROD-0024,6,53.57,0.0,321.42,321.42,29.34
ORD-000186,2024-10-10,2024-10-14,First Class,CUST-0496,PROD-0034,1,9.08,0.3,9.08,6.36,0.09
ORD-000187,2024-06-13,2024-06-18,Standard Class,CUST-0301,PROD-0005,2,1940.19,0.0,3880.38,3880.38,949.7
ORD-000188,2024-05-28,2024-05-31,First Class,CUST-0247,PROD-0001,1,914.5,0.0,914.5,914.5,123.1
ORD-000189,2024-01-06,2024-01-09,Second Class,CUST-0096,PROD-0011,3,77.65,0.0,232.95,232.95,22.21
ORD-000190,2024-05-05,2024-05-10,Standard Class,CUST-0346,PROD-0031,3,2.95,0.1,8.85,7.96,2.22
ORD-000191,2024-10-06,2024-10-13,Standard Class,CUST-0083,PROD-0009,1,27.06,0.0,27.06,27.06,6.95
ORD-000192,2024-11-08,2024-11-10,First Class,CUST-0208,PROD-0002,1,867.09,0.0,867.09,867.09,210.41
ORD-000193,2024-09-07,2024-09-14,Standard Class,CUST-0113,PROD-0027,5,4.68,0.0,23.4,23.4,3.65
ORD-000194,2024-04-09,2024-04-14,Standard Class,CUST-0371,PROD-0022,1,116.27,0.1,116.27,104.64,27.11
ORD-000195,2024-12-01,2024-12-06,Standard Class,CUST-0466,PROD-0033,3,5.61,0.0,16.83,16.83,4.88
ORD-000196,2024-05-30,2024-06-02,Second Class,CUST-0450,PROD-0035,2,10.19,0.0,20.38,20.38,7.76
ORD-000197,2024-06-18,2024-06-23,Standard Class,CUST-0460,PROD-0028,3,11.83,0.0,35.49,35.49,8.62
ORD-000198,2023-12-25,2024-01-01,Standard Class,CUST-0394,PROD-0025,6,8.54,0.0,51.24,51.24,11.28
ORD-000199,2023-08-27,2023-08-29,First Class,CUST-0131,PROD-0031,1,3.23,0.0,3.23,3.23,0.41
ORD-000200,2024-08-14,2024-08-21,Standard Class,CUST-0364,PROD-0001,1,1029.88,0.0,1029.88,1029.88,181.63
ORD-000201,2023-06-08,2023-06-15,Standard Class,CUST-0186,PROD-0007,1,1391.22,0.0,1391.22,1391.22,273.04
ORD-000202,2023-07-28,2023-08-04,Standard Class,CUST-0142,PROD-0026,2,14.61,0.0,29.22,29.22,4.43
ORD-000203,2024-12-23,2024-12-28,Standard Class,CUST-0158,PROD-0023,5,91.84,0.0,459.2,459.2,104.99
ORD-000204,2023-04-13,2023-04-19,Standard Class,CUST-0359,PROD-0011,4,83.75,0.0,335.0,335.0,108.48
ORD-000205,2024-02-03,2024-02-03,Same Day,CUST-0027,PROD-0011,5,84.11,0.0,420.55,420.55,122.0
ORD-000206,2023-09-27,2023-10-02,Standard Class,CUST-0046,PROD-0005,3,2088.75,0.0,6266.25,6266.25,1317.53
ORD-000207,2023-10-21,2023-10-26,Second Class,CUST-0336,PROD-0034,1,9.49,0.2,9.49,7.59,0.24
ORD-000208,2023-10-20,2023-10-27,Standard Class,CUST-0104,PROD-0034,2,9.36,0.0,18.72,18.72,5.98
ORD-000209,2024-11-01,2024-11-06,Standard Class,CUST-0185,PROD-0016,1,85.01,0.0,85.01,85.01,27.02
ORD-000210,2024-06-14,2024-06-21,Standard Class,CUST-0208,PROD-0013,1,366.3,0.25,366.3,274.73,47.94
ORD-000211,2023-10-11,2023-10-16,Standard Class,CUST-0179,PROD-0023,2,87.29,0.1,174.58,157.12,33.44
ORD-000212,2023-03-16,2023-03-22,Standard Class,CUST-0055,PROD-0036,7,5.3,0.0,37.1,37.1,14.86
ORD-000213,2024-12-11,2024-12-17,Standard Class,CUST-0417,PROD-0017,3,631.34,0.0,1894.02,1894.02,822.94
ORD-000214,2024-08-23,2024-08-26,First Class,CUST-0235,PROD-0030,1,3.65,0.0,3.65,3.65,1.63
ORD-000215,2023-11-20,2023-11-26,Standard Class,CUST-0347,PROD-0015,2,495.17,0.0,990.34,990.34,147.86
ORD-000216,2024-11-20,2024-11-24,Second Class,CUST-0048,PROD-0026,1,16.29,0.0,16.29,16.29,3.12
ORD-000217,2023-07-07,2023-07-11,First Class,CUST-0458,PROD-0018,7,843.29,0.0,5903.03,5903.03,849.71
ORD-000218,2023-07-31,2023-08-05,Standard Class,CUST-0124,PROD-0017,5,581.75,0.0,2908.75,2908.75,284.92
ORD-000219,2024-09-20,2024-09-27,Standard Class,CUST-0041,PROD-0032,7,12.84,0.0,89.88,89.88,15.83
